PPN;EPN;Jahr
536494266;;1691
536421471;889109656;1691
536245606;;1691
536138478;;1691
536106304;;1691
536079781;;1691
535956991;225946246;1691
53594425X;;1691
53590102X;66753640X;1691
535826796;;1691
535780621;142135143;1691
535726082;941222985;1691
535723865;216925428;1691
535399936;229750540;1691
535399723;169724433;1691
535384165;1221116703;1691
535372132;123916925;1691
98998943;;1691
98974556;;1691
98966006;229757391;1691
92328989;;1691
09232424X;;1691
92312845;122682440;1691
92312489;124625452;1691
09228776X;;1691
92280404;155717243;1691
92251722;;1691
92037607;;1691
92028993;216933714;1691
92025498;;1691
92010520;;1691
92009603;123616654;1691
91960398;216919916;1691
91854326;123073200;1691
91813905;124845096;1691
795545797;;1690
675900034;;1690
635979616;;1690
635979608;;1690
635979527;;1690
549925244;;1690
537162070;123567041;1690
537151915;;1690
536936315;1226414214;1690
536856265;;1690
536749469;;1690
536729506;;1690
536729492;;1690
536729484;;1690
536702136;124818773;1690
536693870;88306331X;1690
536640610;;1690
53659385X;;1690
536586586;;1690
53656325X;;1690
536552894;;1690
536433232;;1690
536316023;;1690
536311544;;1690
536216142;;1690
53616858X;;1690
536110182;229758878;1690
536002770;916348261;1690
53596756X;224873571;1690
535951108;;1690
535907370;321106849;1690
535888848;;1690
535835272;;1690
53564339X;;1690
535626932;;1690
535610998;16972204X;1690
535450818;;1690
535444990;225848767;1690
535407238;93467437X;1690
535401884;1206240997;1690
535400004;229758304;1690
535380771;1191164217;1690
535378416;1226288111;1690
535376804;1178171019;1690
98992465;;1690
98978454;;1690
92308708;;1690
92281974;;1690
92264778;1179941330;1690
92264646;;1690
92251056;;1690
92225705;;1690
92176518;224814133;1690
92162657;;1690
92156568;;1690
09207748X;;1690
92057918;216873533;1690
92045987;;1690
92039782;;1690
92026133;146002199;1690
92025404;;1690
92013503;;1690
92010008;;1690
91995787;;1690
91994403;123163943;1690
91981050;;1690
91957354;247072958;1690
91928273;;1690
91922828;;1690
91922801;;1690
91919223;;1690
91916798;149001479;1690
91838738;124818765;1690
91813891;124845088;1690
1030580286;;1689
822088029;;1689
822027739;;1689
821968955;;1689
795377193;;1689
746463081;;1689
641314035;;1689
630138060;;1689
608766739;;1689
600944565;;1689
549912258;;1689
537316558;;1689
537307931;;1689
537157816;;1689
537122192;;1689
537041605;;1689
537034692;;1689
537034218;;1689
537029575;;1689
537028358;;1689
537019634;;1689
537010211;;1689
536944199;;1689
536802122;;1689
536734240;1202013325;1689
536693951;883106582;1689
536644772;;1689
536644764;;1689
53644708X;;1689
536446776;;1689
536408793;;1689
536407983;;1689
536273715;122900669;1689
536243549;;1689
536243530;;1689
536243506;;1689
536243484;1370649797;1689
536096759;;1689
536055173;185072011;1689
535945981;;1689
535945957;;1689
535832974;216901634;1689
535784104;123823803;1689
53564695X;;1689
535646941;;1689
535646933;;1689
535444982;225848740;1689
535444974;22584804X;1689
535372531;382617215;1689
99012073;;1689
99012065;;1689
99005093;;1689
92310788;123823773;1689
92293468;;1689
92256929;146003586;1689
92253962;;1689
92250874;;1689
09221634X;;1689
92214673;124113478;1689
92199097;;1689
92191665;;1689
92187315;123736099;1689
92177654;;1689
92162649;;1689
92153283;;1689
92150632;;1689
92150624;;1689
92119204;;1689
92066798;;1689
09206339X;18507202X;1689
92052126;;1689
92041167;;1689
09200136X;123811376;1689
91982995;132230747;1689
09197206X;;1689
09192278X;;1689
91872480;245932550;1689
91854113;225346184;1689
101144819X;;1688
800165993;;1688
800165896;;1688
728209012;;1688
728208989;;1688
728208970;;1688
728208962;;1688
728208946;;1688
728208903;;1688
72820889X;;1688
728208873;;1688
728208865;;1688
728208857;;1688
687997615;;1688
687997607;;1688
687997593;;1688
65912579X;;1688
585898456;;1688
578291266;;1688
537312226;;1688
537168036;;1688
537153748;124904211;1688
537136215;;1688
537135944;;1688
536886504;;1688
536742677;149035209;1688
536734526;227215257;1688
536698600;1151497010;1688
53669382X;229759491;1688
536692696;882325876;1688
536658811;;1688
536594066;;1688
536560412;132274760;1688
536447071;;1688
53640920X;;1688
53640867X;;1688
536408564;;1688
536408394;;1688
536408386;;1688
536408378;;1688
53640836X;;1688
536299714;;1688
535899777;141769165;1688
535874146;;1688
53585935X;;1688
535801645;;1688
535517998;;1688
535428308;697547000;1688
535408412;938173545;1688
535408374;938170317;1688
535403798;141769181;1688
535402902;1199350559;1688
535388799;;1688
535385803;;1688
535376707;1178166937;1688
92336833;;1688
92289177;;1688
92167543;;1688
92132464;122682459;1688
92120342;697531554;1688
92111041;1212719298;1688
92110118;199229740;1688
92074057;;1688
92053882;;1688
92001785;;1688
91957397;1192610105;1688
91946204;;1688
91922771;;1688
91916801;122691814;1688
09185234X;199228531;1688
91824524;;1688
91824516;;1688
91824508;;1688
91824494;;1688
1344489168;;1687
1030575991;180475935X;1687
1030575983;1804759325;1687
1030575975;1804759295;1687
851705324;;1687
782371809;;1687
63705346X;;1687
537304401;;1687
537235418;;1687
53723537X;;1687
53686361X;123809517;1687
536736790;229761097;1687
536734534;1160968918;1687
53669494X;229760740;1687
536693781;882785303;1687
536693773;882755714;1687
536339651;;1687
536331448;141774657;1687
536293708;;1687
535956770;127607439;1687
535899815;141764538;1687
535824696;;1687
535795106;;1687
535795025;;1687
535778813;;1687
535761732;231210833;1687
535756070;14177469X;1687
535747039;;1687
535689608;;1687
535680562;;1687
535500203;123823781;1687
535410506;127161589;1687
535381433;122867556;1687
53537660X;1178164551;1687
53537657X;1178162761;1687
92294227;124321526;1687
92268145;175319200;1687
92176593;947822577;1687
92172393;123601371;1687
92150616;;1687
92150608;;1687
92149200;;1687
92149197;;1687
09203618X;;1687
92032249;223675679;1687
92024696;1193860466;1687
91985463;199132224;1687
91973236;227696514;1687
91964695;124990010;1687
91925436;;1687
91922755;;1687
91894808;;1687
91856523;123165725;1687
91852331;199227993;1687
91852307;198859708;1687
578291290;;1686
53731234X;;1686
537256709;;1686
536950334;;1686
536828229;198864213;1686
536733996;224568310;1686
536703140;1170080944;1686
536693714;;1686
536650691;225902702;1686
53665011X;;1686
536590168;;1686
536552681;;1686
536432996;;1686
536156611;;1686
536142742;;1686
535886020;;1686
535855974;19657188X;1686
535705832;142123390;1686
535601050;223693375;1686
535500211;123823811;1686
535463375;123274044;1686
535410573;12717284X;1686
535400195;229953441;1686
535400187;229939384;1686
535376561;1178160203;1686
98987054;225916886;1686
92308147;;1686
92293263;;1686
92283667;1113388072;1686
92279406;;1686
92262406;;1686
92216048;1495439666;1686
92215181;122994361;1686
92212891;;1686
92176577;1168413419;1686
92073727;;1686
92059333;122687434;1686
92032206;223724106;1686
92013473;26971149X;1686
92005330;1277792607;1686
91954304;177842229;1686
91950309;198798016;1686
09185265X;229760023;1686
1484314816;;1685
845591525;;1685
779018087;;1685
731510089;;1685
537118004;;1685
537063935;142142042;1685
536875839;;1685
536817502;;1685
53677238X;;1685
536734550;251823431;1685
536695431;91553973X;1685
536694591;895132346;1685
536693692;882752251;1685
536692297;880137207;1685
536648654;1500339059;1685
536593965;745123864;1685
536537283;12717902X;1685
536537151;;1685
53629674X;;1685
536232784;;1685
53614267X;;1685
536105596;223627178;1685
535957629;;1685
535900996;667333010;1685
535899750;122895185;1685
