PPN;EPN;Jahr;VD
567705935;1163071684;1592;
567705935;1163071765;1592;
567705935;1163071773;1592;
567693651;;1592;
567691403;;1592;
567666778;;1592;
567664694;;1592;
567643263;1782477853;1592;
56763745X;;1592;
567631656;123444837;1592;
567629376;;1592;
567625818;;1592;
567616908;;1592;
567610349;;1592;
567585883;;1592;
567576507;;1592;
567550745;290972787;1592;
567547701;;1592;
567527999;;1592;
567527980;;1592;
567462811;123049709;1592;
567457583;;1592;
567435601;;1592;
567412997;123300177;1592;
567412997;123300169;1592;
567410978;;1592;
567403327;;1592;
567300676;;1592;
567239764;;1592;
567234924;123489938;1592;
567190099;;1592;
567189643;;1592;
79165771X;;1591;
791646068;;1591;
568220412;;1591;
568161491;;1591;
568087518;;1591;
568078543;;1591;
568055284;;1591;
568055233;;1591;
568055217;;1591;
568034155;123959284;1591;
568034155;123959292;1591;
568034155;123959306;1591;
568024788;;1591;
568005996;;1591;
56799547X;123087899;1591;
56799547X;123087902;1591;
567991741;;1591;
567970523;123490421;1591;
567970523;12349043X;1591;
567970396;;1591;
567969959;;1591;
567942678;;1591;
567926338;;1591;
567902730;;1591;
567901246;;1591;
567892816;12316088X;1591;
567800814;;1591;
567795306;;1591;
567785254;;1591;
567773558;;1591;
567770516;;1591;
567762726;602048702;1591;
567762726;290982480;1591;
567757404;;1591;
567728501;;1591;
567727815;;1591;
567724506;;1591;
567700070;;1591;
567685527;;1591;
567640582;292329059;1591;
567635600;;1591;
567615863;276873432;1591;
567601277;123391342;1591;
567583562;;1591;
567570673;;1591;
56755869X;125051786;1591;
56754396X;;1591;
567424227;125051794;1591;
567418081;;1591;
567401189;17266215X;1591;
567327639;122937732;1591;
567323927;171001591;1591;
567323927;123601975;1591;
567323927;123601983;1591;
567316971;;1591;
567279669;128285346;1591;
567235939;;1591;
567232476;;1591;
567232468;125045859;1591;
567232468;123394813;1591;
567232468;123394821;1591;
567232468;12339483X;1591;
567226697;123601940;1591;
567205584;122884086;1591;
567205584;178401501;1591;
56720510X;;1591;
56718966X;;1591;
56718143X;;1591;
784854858;;1590;
728625229;;1590;
568234227;123250099;1590;
568234227;136193056;1590;
568234227;136193064;1590;
568234227;136193072;1590;
568234227;136193080;1590;
568227425;;1590;
568225376;124469582;1590;
568225376;124469590;1590;
568225376;124469604;1590;
568225376;124469612;1590;
568224817;;1590;
568202171;;1590;
568202163;;1590;
568202155;;1590;
568202147;;1590;
568202139;;1590;
568202120;;1590;
568184262;473674351;1590;
568184262;47367436X;1590;
568144732;122875311;1590;
568144732;12287532X;1590;
568144732;122875338;1590;
568144732;122875346;1590;
568116828;;1590;
568116801;;1590;
568107578;;1590;
568104420;261420437;1590;
568104420;261420445;1590;
568104420;261420453;1590;
568104420;261420461;1590;
568104420;26142047X;1590;
568104420;261420488;1590;
568072847;291990142;1590;
568034783;123391318;1590;
568034783;123391326;1590;
568034783;123391334;1590;
567982408;;1590;
567970272;;1590;
567970264;;1590;
567969940;;1590;
56796986X;;1590;
567963632;;1590;
567941183;;1590;
567920054;125045824;1590;
567920054;125045832;1590;
567920054;125045840;1590;
567882225;;1590;
567794083;;1590;
567777677;123072506;1590;
567777677;123072492;1590;
567777677;123072530;1590;
567777677;123072522;1590;
567777677;123072484;1590;
567777677;1252888635;1590;
567777677;1252888791;1590;
567772586;23885471X;1590;
567772586;15253749X;1590;
567772586;152537295;1590;
567772586;238854701;1590;
567753506;;1590;
567746348;;1590;
567739759;;1590;
567728617;;1590;
567727858;;1590;
567727513;;1590;
567726061;;1590;
56772008X;;1590;
567717224;;1590;
567712869;;1590;
56770050X;;1590;
56769996X;;1590;
567690199;;1590;
567686930;;1590;
567685381;;1590;
567642631;246668369;1590;
567621553;;1590;
567612872;;1590;
567606732;;1590;
567594467;;1590;
567594165;;1590;
567593924;;1590;
567557227;;1590;
567547620;122377225X;1590;
567518965;;1590;
56750526X;;1590;
567500950;;1590;
56747870X;125051808;1590;
567462773;;1590;
567462749;;1590;
567438821;;1590;
56741809X;;1590;
567398374;;1590;
567338495;;1590;
567333388;;1590;
567322645;128365161;1590;
567311511;263385310;1590;
567310078;;1590;
567266214;;1590;
567209423;;1590;
567190250;;1590;
567188841;;1590;
558994970;;1590;
866898522;;1589;
784858489;;1589;
728627914;;1589;
728620405;;1589;
568239695;;1589;
568235177;;1589;
56823507X;;1589;
568234561;123602912;1589;
568234561;123602920;1589;
568234561;123602939;1589;
568234561;123602947;1589;
568234561;123602955;1589;
568234561;123602963;1589;
568234561;123602971;1589;
568234235;236493000;1589;
568222822;125045875;1589;
568220404;128363843;1589;
568220404;128363991;1589;
568220404;12360169X;1589;
568220404;123601681;1589;
568220404;123601703;1589;
568214420;;1589;
568174992;124307086;1589;
568174992;272546585;1589;
568174992;272546593;1589;
568174992;835609286;1589;
568166094;;1589;
568130995;;1589;
568116887;;1589;
56809798X;;1589;
568085221;;1589;
568078535;;1589;
568052374;;1589;
568037456;;1589;
568004361;220077053;1589;
568004361;1289498784;1589;
567983927;;1589;
567955729;;1589;
56791691X;;1589;
567907139;132308479;1589;
567896935;;1589;
567789861;;1589;
567784606;1473901456;1589;
567764931;;1589;
567748154;;1589;
567718921;;1589;
567695913;248367897;1589;
567693546;;1589;
567685438;;1589;
567610918;;1589;
567601579;;1589;
567594416;;1589;
567593843;;1589;
567592286;;1589;
567591611;;1589;
567542351;;1589;
567504743;;1589;
567474305;;1589;
56746282X;;1589;
567446921;;1589;
567419487;12276093X;1589;
567405605;;1589;
56739994X;124625150;1589;
56739994X;473813270;1589;
56739994X;473813289;1589;
567398242;;1589;
567384683;;1589;
567382702;;1589;
567373304;124625185;1589;
567373304;290971519;1589;
567373304;602044871;1589;
567355381;;1589;
