PPN;EPN;VD;Jahr
774961287;;;1754
732340896;;;1754
732284058;;;1754
683696300;;;1754
683687131;;;1754
683675419;;;1754
683651412;;;1754
683625128;;;1754
548781443;84446984X;;1754
529873176;821259792;;1754
455902712;;;1754
455711054;;;1754
454190859;;;1754
385497415;;;1754
327591013;;;1754
265919800;;;1754
235215678;;;1754
227831411;;;1754
217046525;;;1754
216842719;217822959;;1754
213278197;192553607;;1754
189697369;;;1754
189696753;16151040X;;1754
184136571;;;1754
183780191;147059720;;1754
151625271;124712630;;1754
151273898;124312756;;1754
151030928;12402971X;;1754
15103091X;124029701;;1754
150951094;123935245;;1754
150951086;123935237;;1754
150951078;123935229;;1754
150829027;12379921X;;1754
150648359;123599393;;1754
150495978;123412366;;1754
147721393;;;1754
147695155;;;1754
147485177;933869177;;1754
145733920;;;1754
143761064;;;1754
138016585;;;1754
135117747;129134910;;1754
1565947770;;;1753
1562422421;;;1753
1489772014;;;1753
1489374868;;;1753
1149001518;;;1753
114774145X;;;1753
114471687X;;;1753
1121247768;;;1753
1117124118;;;1753
1114492981;;;1753
111050392X;;;1753
110340010X;;;1753
1100629580;;;1753
1092927670;;;1753
1012575594;;;1753
1012554082;;;1753
1012537021;;;1753
1010738615;;;1753
1005265623;;;1753
848397592;;;1753
848397584;;;1753
848359666;;;1753
848346793;;;1753
833740709;;;1753
818193220;;;1753
775023256;;;1753
774975830;;;1753
77496409X;;;1753
774928220;;;1753
774903503;;;1753
732265223;;;1753
68372200X;;;1753
683716204;;;1753
683666096;;;1753
683653628;;;1753
683645846;;;1753
683630296;;;1753
683604724;;;1753
683581937;;;1753
456552685;;;1753
455123969;;;1753
420658556;;;1753
385497393;;;1753
385497377;;;1753
337633835;;;1753
329307568;;;1753
245334602;;;1753
240620852;;;1753
236268678;263489132;;1753
227831381;;;1753
227831284;;;1753
226323544;;;1753
217046886;249386380;;1753
212534114;;;1753
212429280;;;1753
181810441;;;1753
151915997;125103107;;1753
151915776;125102860;;1753
151915601;125102666;;1753
151772886;124905390;;1753
151625247;124712614;;1753
151614016;124699480;;1753
150648367;123599407;;1753
150344589;123234824;;1753
150266219;123148014;;1753
147728436;;;1753
147695139;14048311X;;1753
147691176;;;1753
146510585;;;1753
058504338;812203380;;1753
1565946715;;;1752
1489363874;;;1752
1489323015;;;1752
140730044X;;;1752
