PPN;EPN;Jahr
91944546;;1689
91917158;;1689
09189865X;;1689
884817725;;1688
791125351;1473946344;1688
786804297;1476043264;1688
785341544;;1688
600943356;;1688
561436304;1846352916;1688
561436290;1831740737;1688
537283838;;1688
537280197;;1688
537219994;;1688
537219811;;1688
537207872;;1688
537043608;;1688
536954984;;1688
536723923;170353257;1688
536719853;;1688
536718849;;1688
536634696;;1688
536634688;;1688
536625921;;1688
536547637;;1688
536547173;;1688
536544859;;1688
536503591;;1688
536503516;;1688
536490333;;1688
536327742;;1688
536297096;;1688
536296502;;1688
536292469;;1688
536231656;;1688
536226539;;1688
536216738;;1688
536172161;;1688
536172153;;1688
536073554;;1688
53606783X;;1688
536036012;;1688
535975074;;1688
53589127X;;1688
535808151;;1688
535803257;;1688
53575390X;;1688
535678134;;1688
535674171;;1688
535599005;;1688
535568118;;1688
535518927;;1688
535463960;;1688
535463952;;1688
535463723;;1688
535463278;;1688
535390378;;1688
98993917;;1688
98973282;;1688
92329055;;1688
92315577;;1688
92294731;;1688
92292364;;1688
92286674;1102948543;1688
09228597X;;1688
92266568;;1688
92258484;;1688
92249426;;1688
92247873;;1688
92217273;;1688
92212719;;1688
09217504X;;1688
92160298;;1688
09211427X;185525873;1688
91982146;518817008;1688
91982111;;1688
91977843;;1688
91974364;124164048;1688
09196721X;;1688
91958520;;1688
09194211X;;1688
91904536;;1688
91901030;;1688
91897300;;1688
09189512X;;1688
91895057;;1688
91895030;;1688
91804469;1326295160;1688
91804450;262961784;1688
91804442;262954109;1688
722376499;;1687
63815250X;;1687
584946317;;1687
582130646;;1687
537321403;;1687
537287930;;1687
537120513;;1687
53708360X;124077099;1687
536927995;;1687
536761396;123615194;1687
536740127;168438334X;1687
536712131;;1687
536685193;;1687
536641889;;1687
536634513;;1687
53660858X;;1687
536492506;;1687
536476705;;1687
536462801;;1687
536457913;;1687
536416214;;1687
536391769;;1687
53631876X;;1687
536293163;;1687
536166854;;1687
536082081;;1687
536040591;;1687
536040583;;1687
536040575;;1687
536034893;;1687
536027307;;1687
535992726;1522409831;1687
535985029;;1687
535915322;;1687
535915314;;1687
535915306;;1687
535890109;;1687
535816901;;1687
535780494;124908020;1687
535704267;;1687
535695268;;1687
535679971;;1687
535603150;124909388;1687
535598998;;1687
535572964;;1687
535395744;124178197;1687
99014653;51881761X;1687
98990942;;1687
92327567;;1687
92313728;;1687
92283284;;1687
09226655X;;1687
92240488;;1687
92194613;;1687
92193056;;1687
92134092;;1687
92111874;;1687
92077366;;1687
92006272;;1687
92004997;;1687
09200279X;852925433;1687
91998603;;1687
09199859X;;1687
91970164;1239723628;1687
91967007;;1687
91956781;;1687
91954037;;1687
91940702;;1687
91918502;;1687
91897424;894444492;1687
91897319;;1687
91895286;;1687
1048993310;;1686
1018835806;;1686
1013698320;;1686
86397001X;;1686
859716627;;1686
735196516;;1686
56057584X;;1686
537261788;;1686
537049479;123087228;1686
536951497;;1686
536946876;;1686
536937486;;1686
536834415;;1686
536755272;;1686
536751188;123193729;1686
536671370;;1686
536651299;;1686
536650535;;1686
536646562;;1686
536635498;;1686
536628556;;1686
536608261;;1686
536562598;;1686
536562040;;1686
536553319;;1686
536552843;;1686
536549664;;1686
536547424;;1686
536541353;;1686
536541183;;1686
536522332;;1686
536462410;;1686
536458898;;1686
536452067;;1686
536448108;;1686
536431345;;1686
536426414;;1686
536407312;;1686
536407304;;1686
536400539;;1686
536354197;;1686
536314993;;1686
536296871;;1686
536296553;;1686
536266867;;1686
536251576;;1686
536245754;;1686
536239169;;1686
536108765;;1686
536020922;;1686
53598829X;;1686
535951027;471526312;1686
535910312;;1686
535910096;;1686
535695284;;1686
535690827;;1686
535675739;;1686
53567547X;124076955;1686
535669917;;1686
535644388;;1686
535577001;;1686
535575505;;1686
535575203;;1686
535574851;;1686
535574835;;1686
535571313;;1686
92243703;;1686
92188842;;1686
09217065X;124375847;1686
92166210;123081629;1686
92148808;;1686
92079598;;1686
92077463;;1686
92051049;1850284954;1686
92032257;;1686
91993954;;1686
91968933;;1686
09195598X;;1686
91915805;;1686
91897483;;1686
91897335;;1686
91897327;;1686
91895987;;1686
1102841781;;1685
1066497729;3416271203;1685
1048996271;1848965710;1685
1048994864;1848963491;1685
1020009527;;1685
812972562;1510125795;1685
789832402;;1685
778813835;1458374475;1685
725497637;;1685
682894435;;1685
672649837;;1685
558085555;;1685
549930663;;1685
537263802;;1685
537237909;;1685
537220429;;1685
537195513;;1685
537113282;;1685
537100342;;1685
537100326;;1685
537066314;;1685
53705085X;;1685
537011196;;1685
536952744;232713251;1685
536781001;;1685
536681554;;1685
536651035;;1685
536650829;;1685
536650314;;1685
536625883;;1685
536621373;;1685
536583153;;1685
536547599;;1685
536545804;1458373495;1685
536544670;;1685
53651299X;;1685
536510849;;1685
53646149X;;1685
536434689;;1685
536423784;;1685
536423385;;1685
536328625;;1685
53629741X;;1685
536295999;;1685
536292345;;1685
536291020;;1685
536290431;;1685
536290229;;1685
536287287;;1685
536244820;;1685
536234930;;1685
536226369;;1685
536217122;;1685
536150753;;1685
536126615;;1685
536042179;128607688;1685
536041911;;1685
535971605;;1685
535971591;;1685
535909888;;1685
535865198;;1685
53586468X;;1685
535832826;;1685
53583280X;;1685
535825439;124234038;1685
535824467;;1685
535794444;;1685
535760361;;1685
535753691;;1685
53572604X;;1685
535631154;;1685
535603274;124908047;1685
535579691;1846884225;1685
535574878;;1685
535574320;1849013969;1685
535572727;;1685
535572700;;1685
535562179;1846880327;1685
535531737;;1685
535524684;;1685
535524404;;1685
535428081;709018592;1685
92324142;;1685
92322077;;1685
92316832;;1685
92287379;;1685
09228440X;;1685
92254292;;1685
92253261;;1685
92253253;;1685
92231756;225677466;1685
92211011;;1685
92203523;;1685
92200826;;1685
92175872;;1685
92175198;;1685
92135420;;1685
92132782;;1685
92114261;124375863;1685
92053939;;1685
92036805;;1685
92011977;;1685
92001130;;1685
91958997;123615224;1685
91954053;;1685
91940745;;1685
91897777;;1685
1102842125;;1684
104899550X;1848964005;1684
1048992918;184896319X;1684
1043721460;1838542167;1684
1043721355;183854206X;1684
1043721320;1838542027;1684
1043720790;1838541535;1684
1025123484;183094651X;1684
867647353;;1684
83197978X;;1684
820789518;;1684
788062840;1587791749;1684
768449863;;1684
767479939;;1684
767445023;;1684
766722279;;1684
750044829;;1684
742700801;;1684
717473171;;1684
549930698;;1684
549930647;;1684
537253289;;1684
537187510;;1684
537169261;;1684
537096922;;1684
537096906;;1684
537096140;;1684
537035036;;1684
53703501X;;1684
53703496X;;1684
537011218;;1684
536996229;;1684
536952019;;1684
536933855;;1684
536780900;;1684
536651906;;1684
536649626;;1684
536649553;;1684
536625719;;1684
536625026;;1684
536621233;;1684
536608571;;1684
536604665;1339392224;1684
536554951;;1684
536553211;;1684
536552673;;1684
53654543X;;1684
536545421;;1684
536543992;;1684
536512396;;1684
536504075;;1684
536482594;;1684
